# 📡 Master Directory - AI Search Index
To fetch full details, request the corresponding JSON file at: https://rink-git-cron.vercel.app/api/master_directory/{ID}.json

[id] Instruments | Institute: Institution Name | Location: District | Tags: tag
[inst_100001] High resolution Transmission Electron Microscope (HRTEM) | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: nanotech, surface_science, metallurgy, analytical_chem
[inst_100002] Scanning Electron Microscope with Energy dispersive X-Ray spectroscope (SEMEDAX). | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: nanotech, metallurgy, surface_science, analytical_chem
[inst_100003] Ultra Microtome: Leica UC 7 | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: nanotech, metallurgy, metrology, polymers
[inst_100004] Powder XRD | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: nanotech, metallurgy, analytical_chem, geosciences
[inst_100005] Single Crystal XRD | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: nanotech, metallurgy, analytical_chem, geosciences
[inst_100006] ICP-Mass Spectrometer with Ion chromatograph | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: analytical_chem, water_quality, pharmaceuticals, geosciences
[inst_100007] CHNS Analyzer | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: analytical_chem, soil_analysis, food_safety, geosciences
[inst_100008] FT Nuclear Magnetic Resonance spectrometer (FTNMR) | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: pharmaceuticals, polymers, analytical_chem
[inst_100009] MALDI TOF Mass Spectrometer | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: genomics, microbiology, pharmaceuticals, analytical_chem
[inst_100010] UV Vis NIR Spectrophotometer: | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: analytical_chem, polymers, nanotech, semiconductors
[inst_100011] FTIR spectrometer | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: analytical_chem, polymers, surface_science, pharmaceuticals
[inst_100012] Thermo gravimetricanalysis (TGA-DTA Perkin Elmer STA6000, Perkin Elmer Diamond) | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: polymers, analytical_chem, metallurgy, green_chem
[inst_100013] Differential Scanning Calorimetry (DSC) | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: polymers, pharmaceuticals, analytical_chem, battery_tech
[inst_100014] Differential Thermal analysis (DTA) | Institute: Cochin University of Science and Technology | Location: Ernakulam | Tags: analytical_chem, polymers, metallurgy, geosciences
[inst_100015] Scanning Probe Microscopy (SPM) | Institute: Kerala University | Location: Trivandrum | Tags: nanotech, surface_science, semiconductors, metrology
[inst_100016] UV-VIS-NIR | Institute: Kerala University | Location: Trivandrum | Tags: nanotech, polymers, surface_science, analytical_chem
[inst_100017] FTIR | Institute: Kerala University | Location: Trivandrum | Tags: analytical_chem, polymers, surface_science, pharmaceuticals
[inst_100018] Inductively Coupled Plasma Mass Spectrometry (ICP-MS) | Institute: Kerala University | Location: Trivandrum | Tags: analytical_chem, geosciences, water_quality, food_safety
[inst_100019] Spectral Confocal Microscope (SCM) | Institute: Kerala University | Location: Trivandrum | Tags: cell_culture,microbiology,genomics,diagnostics
[inst_100020] Scanning Electron Microscopy [SEM] includes Energy Dispersive X-Ray Analyser [EDX] | Institute: Kerala University | Location: Trivandrum | Tags: nanotech, metallurgy, surface_science, analytical_chem
[inst_100021] X-Ray Diffractometer includes Powder X-ray Diffraction (Powder XRD), Grazing Incidence X-Ray Diffraction (GI XRD | Institute: Kerala University | Location: Trivandrum | Tags: nanotech, metallurgy, surface_science, analytical_chem
[inst_100022] Nuclear Magnetic Resonance Spectrometer [NMR including 1H and 13 C NMR] | Institute: Kerala University | Location: Trivandrum | Tags: pharmaceuticals, polymers, analytical_chem, bioinformatics
[inst_100023] CHN(S)/O Analyser | Institute: Kerala University | Location: Trivandrum | Tags: analytical_chem, soil_analysis, geosciences, green_chem
[inst_100024] Simultaneous Thermal Analyzer (TGDTA/DSC) (Funded by RUSA) | Institute: Kerala University | Location: Trivandrum | Tags: polymers, analytical_chem, metallurgy, pharmaceuticals
[inst_100025] LIQUID CHROMOTOGRAPHY – MASS SPECTROMETRY | Institute: Kerala University | Location: Trivandrum | Tags: food_safety, pharmaceuticals, analytical_chem, diagnostics
[inst_100026] HIGH PEFORMANCE THIN LAYER CHROMATOGRAPHY | Institute: Kerala University | Location: Trivandrum | Tags: pharmaceuticals, analytical_chem, food_safety
[inst_100027] Sophisticated Fluorescence Spectrometer (SFS) | Institute: Kerala University | Location: Trivandrum | Tags: pharmaceuticals, analytical_chem, medical_devices, diagnostics
[inst_100028] Genetic Analyser (DNA Sequencer) | Institute: Kerala University | Location: Trivandrum | Tags: genomics, bioinformatics, diagnostics, microbiology
[inst_100029] X-Ray Photoelectron Spectrometer (XPS) | Institute: Kerala University | Location: Trivandrum | Tags: surface_science, nanotech, analytical_chem, semiconductors
[inst_100030] Wavelength Dispersive Xray Fuorescence Spectrometry (WDXRF) | Institute: Kerala University | Location: Trivandrum | Tags: geosciences, metallurgy, analytical_chem
[inst_100031] Bet Surface Area Analyzer (BET) | Institute: Kerala University | Location: Trivandrum | Tags: surface_science, analytical_chem, nanotech, metrology
[inst_100032] Milli Q water purification system | Institute: Kerala University | Location: Trivandrum | Tags: analytical_chem, water_quality
[inst_100033] Microwave Digestor | Institute: Kerala University | Location: Trivandrum | Tags: analytical_chem, food_safety, soil_analysis, pharmaceuticals
[inst_100034] ATR-FTIR (Shimadzu, IR Prestige 21) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: polymers, surface_science, analytical_chem, pharmaceuticals
[inst_100035] HPLC (LC-20 AD Prominence, Shimadzu) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: pharmaceuticals, analytical_chem, food_safety, water_quality
[inst_100036] LC-Q-ToF (Xevo, G2 Q-ToF MS System, Waters) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: pharmaceuticals, analytical_chem, diagnostics, food_safety
[inst_100037] UV-Visible Spectrophotometer (LAMBDA 650, Perkin Elmer) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: pharmaceuticals, analytical_chem, food_safety, polymers
[inst_100038] Thermogravimetric Analysis (SDT Q600, TA instruments) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: polymers, analytical_chem, metallurgy, textiles
[inst_100039] Gas Chromatography Tandem Mass Spectrometer (7010C GC/TQ, Agilent Technologies) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: food_safety, pharmaceuticals, analytical_chem
[inst_100040] LC-Q-ToF (Xevo, G2 Q-ToF MS System, Waters) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: food_safety, pharmaceuticals, analytical_chem
[inst_100041] ICP-MS (ICAP QC Quadrupole ICP-Mass Spectrometer, Thermo Fisher) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: analytical_chem, water_quality, soil_analysis, pharmaceuticals
[inst_100042] Spectroscopic Ellipsometer (M-2000V, J. A. Woollam Co.) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: nanotech, surface_science, semiconductors, metrology
[inst_100043] Single Crystal XRD (Bruker AXS) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: pharmaceuticals, nanotech, analytical_chem, geosciences
[inst_100044] Torque Rheometer (Prescott Instruments Rheoline Moving Die Rheometer (MDR)) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: polymers, analytical_chem
[inst_100045] Confocal Raman Microscope with AFM (Alpha 300RA, WiTec, Germany) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: nanotech, surface_science, semiconductors, metrology
[inst_100046] Fluorescence Spectrometer with Life Time Detector (Fluorolog 3 TCSPC, Horiba) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: pharmaceuticals, analytical_chem, diagnostics, medical_devices
[inst_100047] LCMSMS (Shimadzu) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: food_safety, pharmaceuticals, analytical_chem
[inst_100048] FESEM (Tescan) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: nanotech, metallurgy, surface_science, semiconductors
[inst_100049] GC-MS (Thermo Fisher Scientific, Austria) | Institute: Mahatma Gandhi University | Location: Kottayam | Tags: food_safety, pharmaceuticals, analytical_chem, water_quality
[inst_100050] Inductively Coupled Plasma Optical Emission Spectrometer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, water_quality, geosciences
[inst_100051] Atomic Force Microscope | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: nanotech, surface_science, metrology, semiconductors
[inst_100052] Weather O Meter | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: textiles, polymers, analytical_chem, metrology
